species	term	estimate	conf_low	conf_high	pvalue	prevalence	qvalue
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	0.7274254749977535	-0.5884686473026114	2.0433195972981184	0.2786012327160783	1.0	0.6805450819297468
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.968339625932813	-2.7681904740506265	0.8315112221850005	0.29166217796989147	0.9672131147540983	0.6805450819297468
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.6886614250315487	-2.100414584282353	0.7230917342192554	0.3390308771968794	0.9508196721311475	0.7360735620139698
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.mixed]	1.2352372196378778	-1.3579774980657233	3.828451937341479	0.35051122000665225	1.0	0.7360735620139698
Klebsiella pneumoniae	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	1.4106346624924393	-2.232954511634741	5.054223836619619	0.4479660203900512	0.8032786885245902	0.8629227696488453
Corynebacterium striatum	C(chronicity_group, Treatment('unknown'))[T.mixed]	-1.5924353252837005	-5.854562446445035	2.6696917958776343	0.4639911784941204	0.9180327868852459	0.8629227696488453
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-0.5062315311748573	-1.9173691115494027	0.9049060491996881	0.481982508865048	1.0	0.8629227696488453
Cutibacterium acnes	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	0.6529496089696247	-1.2934670497343639	2.5993662676736133	0.5108631815006446	0.9508196721311475	0.8629227696488453
Klebsiella pneumoniae	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-0.7826144976204161	-3.1309897712179904	1.5657607759771581	0.5136445057433603	0.8032786885245902	0.8629227696488453
Cutibacterium acnes	log10_bacterial_reads	-0.20241864198963389	-0.9085617526802813	0.5037244687010135	0.5742310162537794	0.9508196721311475	0.8864238625232047
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.head_neck]	0.9511403581382724	-2.442013558882864	4.344294275159409	0.582730552655609	0.9180327868852459	0.8864238625232047
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-0.43040497738216005	-1.9999668803654962	1.139156925601176	0.5909492416821365	1.0	0.8864238625232047
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.acute_like]	0.4879818918447989	-1.5547656898986801	2.530729473588278	0.6396371912437111	1.0	0.8866985412390894
Corynebacterium striatum	log10_bacterial_reads	-0.2558713784680583	-1.3342571871712061	0.8225144302350896	0.6418987280169719	0.9180327868852459	0.8866985412390894
Pseudomonas aeruginosa	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.3332069656917955	-1.127691933199278	1.7941058645828691	0.6548494368979055	1.0	0.8866985412390894
Cutibacterium acnes	C(chronicity_group, Treatment('unknown'))[T.mixed]	0.437326665275407	-1.6107966858869838	2.4854500164377975	0.6755798409440681	0.9508196721311475	0.8866985412390894
Klebsiella pneumoniae	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.4727706614342982	-2.9419393005166827	1.9963979776480865	0.707457098829984	0.8032786885245902	0.9003999439654342
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.4218001604155131	-2.864133722490289	2.020533401659263	0.7349916060776993	0.9180327868852459	0.9079308075077462
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	-0.25862732677912115	-2.71243341382956	2.1951787602713173	0.8363401140642744	1.0	0.9817004040289591
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.head_neck]	-0.24798023342284226	-2.7091643671179977	2.2132039002723136	0.8434526673775817	0.9672131147540983	0.9817004040289591
Staphylococcus aureus	C(chronicity_group, Treatment('unknown'))[T.mixed]	0.23376155052869652	-3.2487366875809123	3.716259788638305	0.895330792226753	1.0	0.9817004040289591
Pseudomonas aeruginosa	C(chronicity_group, Treatment('unknown'))[T.acute_like]	-0.10672508621153654	-2.3050980224648443	2.0916478500417712	0.9241949106260487	1.0	0.9817004040289591
Serratia marcescens	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	-0.043567130556152016	-1.9160720688104378	1.8289378076981337	0.963627459481335	0.9672131147540983	0.9817004040289591
Klebsiella pneumoniae	C(chronicity_group, Treatment('unknown'))[T.chronic_like]	-0.052322885074891	-2.8660061134903834	2.7613603433406015	0.97092575209494	0.8032786885245902	0.9817004040289591
Staphylococcus aureus	C(body_region, Treatment('lower_extremity'))[T.upper_extremity]	0.029978882762654986	-1.8730486821861418	1.933006447711452	0.9753685761026342	1.0	0.9817004040289591
Corynebacterium striatum	C(body_region, Treatment('lower_extremity'))[T.trunk_perineum]	0.02955255269526841	-2.4956927485019893	2.5547978538925262	0.9817004040289591	0.9180327868852459	0.9817004040289591
