	01A	01D	01E	01F	01G	02A	02B	02C	02H	02I	02J	02K	02L	02M	02N	02O	03A	03B	03C	03D	03E	03F	03I	04B	04C	05C	05E	05F	05G	06A	07A	07B	07C	07D	08B	09A	10A	10B	10C	11A	11B	12A	12B	13B	13C	13D	14A	15A	16A	16C	16D	16E	16F	16G	16H	17B	17C	17G	17I	20B	20C
Brevibacterium luteolum	0.0	0.0	0.0	1.2523852245868268e-05	0.0	0.00030397862300410766	1.2524885755149219e-05	0.010344381198734749	0.00012060823661480512	0.0010382428615959454	3.425406045372198e-05	1.4948919980102108e-06	5.30957475615778e-06	0.0	0.001284564938138057	0.0	0.00010467167600879177	0.0002865816158069277	0.0006099097413702279	0.0005442737335975108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007832003524401586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002352387673488591	0.0122336227308603	1.5451631885472503e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brevibacterium sp. CS2	0.0	0.0	0.0	0.0	0.0	4.972737368404927e-06	0.0	0.00023878713628331175	0.0	2.4602057218617576e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.450714593696432e-06	1.0900650417196023e-05	1.0615834578857824e-05	1.2759263681120483e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010359116022099447	5.579755958642849e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dermacoccus nishinomiyaensis	0.0	0.0	4.860208259923938e-05	0.0	0.0	0.0	0.0	2.478254772171123e-06	0.0	2.162818217021325e-06	0.0	0.0	1.3273936890394448e-05	0.0	0.0	0.0	1.4131497859899673e-05	7.173331242283835e-05	6.40956050044246e-05	0.0639512523217303	0.001709776413853573	0.0005479407901628512	5.5625175318632924e-06	0.0	0.00044478864690060806	0.0019714389847917562	0.001646460110761862	0.003230701453815654	0.0010642652476463364	0.0	0.0	0.0	2.858291481991263e-06	0.0	0.0	0.00046908133715318026	0.0	0.0	0.000145623998835008	0.0033543804262036307	0.00014721971490880747	4.85948169279789e-05	0.00013661529399345133	0.0	0.000803248412477547	0.005259675818723122	2.0351152076704096e-05	0.0	0.0	0.008385011791422831	0.00022864459484177793	0.0	0.0	0.0	0.0001906719066131373	0.0009302325581395349	0.00011596564022932912	0.001185406330947886	0.0019482326746451434	0.0	0.0
Corynebacterium bovis	0.0	0.0	0.0	0.0	1.8076887416562046e-05	9.303831205402766e-06	1.908554019832262e-05	0.00011181302413266185	0.00039893493649512465	2.162818217021325e-06	6.781260698960189e-06	0.0	0.0011026216910287655	0.00031012880683110384	0.0	3.9607300008688054e-05	0.00021345134558150785	0.021166601673003695	0.00028722842992607775	0.0002850784056753205	0.0015344147303814116	0.00029814425347096316	3.0461405531632317e-06	0.0	0.000188381073981434	0.004290778966899705	0.0	0.0	0.0	0.0	5.707241347822117e-06	0.00011295659845263758	9.546693549850819e-05	2.7127766353973946e-05	0.0	5.0397168454473913e-05	0.00015260007043080173	0.0	0.00016802769096347078	0.028265588003157063	6.65278595068955e-05	0.0	0.0005012184487422078	0.0	0.00027196599792546865	0.00019847833278200462	0.0	1.5538455713257982e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0007520947427518193	0.0	0.0	0.0	0.0	0.01414751439915003	0.00025144648963220235
Corynebacterium kroppenstedtii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5486259705460188e-05	0.0	0.0	0.0	2.136156653240648e-06	0.0	8.41254815683073e-06	1.1665612508453013e-05	0.008373520385795703	8.863748076163769e-05	0.0	0.0	6.279369132714467e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017832844222352308	0.0	0.0	0.00013442215277077661	0.02594711917916338	4.0775139697774665e-05	9.71896338559578e-06	0.0	0.0	0.000803248412477547	0.0003473370823685081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Corynebacterium tuberculostearicum	9.737338538698131e-06	0.0008380576780872566	0.0	1.1385320223516607e-05	7.580630206945373e-06	0.0007927505830534565	0.00013240593512586318	0.00029170516465378926	0.0018276786625474315	3.33434475124121e-06	0.00011754185211530994	2.7259795257833255e-06	0.00048449869649939736	0.0004341803295635454	0.0	3.577433549171824e-05	0.00020194896360251974	0.0007531997804398026	7.591323217711539e-05	2.1508473062460242e-05	0.001972818939061815	0.0006446362237210014	1.7084875276437254e-05	0.0	0.0008686460633588345	0.003860044398793943	0.006810357730878611	0.012971755837290128	0.0	5.200083617344567e-06	0.0	2.4783726242772805e-05	3.901567872918074e-05	9.946847663123781e-06	0.0	0.005415757256223081	0.0004578002112924052	0.0005820522477488273	0.0035285815102328866	0.005130228887134964	0.0001000063952587526	7.417103636375727e-05	0.03842704344100215	0.0	0.005584790143446252	0.00544161429043996	4.090380070862309e-05	1.1609191050135275e-05	0.0006118391248809788	0.04279849768538737	0.0016309981098713493	0.0018760881311160472	0.0	0.003954908660442842	0.013235808184061948	0.004357405140758874	0.00045113462479458527	0.0026342362909953024	0.017719640040820113	0.0	0.0
Corynebacterium accolens	0.0	0.0	0.0004526068942054167	0.0	0.0011717904923735944	0.001465995058382343	2.2067655854310528e-05	0.0006860392328139591	0.0014751315093656935	4.11836635491144e-05	1.808336186389384e-05	3.6932625833193443e-06	9.911206211494521e-05	0.0	0.0	0.0	0.000418851023777724	1.898822975898662e-05	6.10911235198422e-05	3.390318635269157e-05	0.0014905743095133712	0.0	0.0	0.0	0.0	0.00019880056989496703	0.0	0.0010279504625777083	0.0	0.0	0.0	0.0	2.1437186114934473e-06	0.0	0.0	0.00010079433690894783	0.00021129240521187932	0.00041086041017564283	0.0	0.0039956590370955015	0.0018353104983966787	1.3299634106604751e-05	0.0001809709089263901	0.0	0.0007589748779315404	0.0004300363876943434	0.0	0.0	4.0083403731386744e-05	0.0034937549130928465	0.002225474056459972	0.011226511376598428	0.00599157498670811	0.0	0.0009268773238138619	0.0	0.0	0.0	0.0	0.0	0.0
Corynebacterium kefirresidentii	1.428142985675726e-05	0.0	0.0	8.538990167637454e-06	0.0	7.86013325973682e-06	0.0	4.664950159380938e-06	0.0	0.0	0.0	0.0	9.159016454372169e-05	0.0	0.0	0.0	3.122075108582486e-06	2.3911104140946113e-05	2.804182718943576e-05	1.3488364462898795e-05	0.007847435335379219	0.0003223181118605007	0.0	0.0	0.00043955583929001265	0.0006958019946323846	0.002619368358030235	0.004209701894365853	0.0	0.0	0.0	0.0	2.000804037393884e-06	0.0	0.0	0.0005427387372020267	0.0002817232069491724	0.0	0.00598178579829956	0.002663772691397001	1.888532786002195e-05	5.3198536426419006e-05	0.0012863128330552237	0.0	0.0005376072052015079	0.0017863049950380416	3.828434549082949e-06	0.0	1.2100650183060148e-05	0.06515852912918159	0.0	0.00022513057573392568	0.0	0.00016142484328338132	0.0010116203934197006	0.0012729498164014688	8.909555285911871e-05	0.0	0.0	5.231134993948118e-05	0.0
Corynebacterium propinquum	0.0	0.0	0.0	0.0	0.0	3.673409217305575e-05	0.0	1.8368241252562443e-05	0.0	3.6046970283688754e-06	5.042475904355013e-06	0.0	0.0	0.0	0.0	0.0	5.258231761823134e-06	0.0	3.8056765471377106e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002219810576164167	0.0004948814323319388	0.0	1.1532459882564073e-05	0.0	0.00022769246337946215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046079044098174844	0.0	0.0	0.0	0.0	0.0	0.0
Corynebacterium jeikeium	0.0	0.0	0.0	0.0	0.0	1.3314103276697063e-05	7.1570775743709824e-06	2.740658218636301e-05	0.0	1.1715265342198845e-06	3.999205027591907e-05	0.0	4.424645630131483e-06	0.0	0.0	0.0	6.572789702278918e-06	0.0	1.34200172978014e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4299497783895156e-06	0.0	0.0	0.0	0.00018781547129944828	0.0	0.0022739747510389713	0.002565114443567482	5.579755958642849e-06	0.0	1.1532459882564073e-05	0.0	0.0	0.0006450545815415151	0.0	4.875860241056815e-05	0.002508616041075657	0.00227094069351035	0.00044204621669410404	0.001590922735186408	0.0002760623287391109	0.0007533159353224461	0.05716449689098863	0.0014687882496940024	0.0017804968420576264	0.002239100847346007	0.0	0.0	0.00010689837393454593
Corynebacterium haemomassiliense	0.0	0.0	0.0	9.279035982166034e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.654636940127465e-05	0.0	0.0	0.0	1.6431974255697295e-06	0.0	3.405079015860057e-06	0.0	0.0	0.0	0.0	0.0	0.0001465186130966709	0.0007620688512640402	0.0029187247418051188	0.002349601057320476	0.0	0.0	0.0	0.0	3.8586935006882055e-06	0.0	0.0	0.0002170954948808107	0.0	0.0	0.0005600923032115692	0.0013812154696132596	8.069185540191197e-05	5.3198536426419006e-05	0.0003787969515272969	0.0	0.001973334682622005	0.000628514720476348	0.0	0.0	0.0	0.0044545375141933794	0.0	0.00016509575553821216	0.0	0.0	7.415018590510895e-05	0.0017135862913096695	0.0	0.0	0.003154281473234994	0.0	0.0
Corynebacterium afermentans	0.0	0.0	0.0	1.992431039115406e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.504229076293279e-05	0.0	0.0	0.0	0.0	0.0	2.4035851876659224e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0006792352804744707	0.0	0.002741201233540555	0.0	0.0	0.0	0.0	4.430351797086458e-06	0.0	0.0	0.00010079433690894783	0.0	0.0	0.0005712941492758007	0.0016771902131018153	1.5880843882291185e-05	1.2276585329173616e-05	7.451743308733709e-05	0.0	0.0007336757153338225	0.00026463777704267285	0.0	0.0	0.0	0.0035810987859201675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019482326746451434	0.0	0.0
Corynebacterium striatum	0.0020747022646452817	0.03608577766822776	0.00014580624779771814	0.00011954586234692437	8.892662358147458e-05	0.0893017009488785	0.012910175097902857	0.09307275310488879	0.08557618265653558	0.0003471323238319227	0.02361530568793021	0.0005887236427457859	0.02713413932678132	0.023052907974445386	0.028125211277127984	0.000507228971079005	0.028250014460137345	0.005536123876397877	0.08202554930934983	0.007698939705188099	0.0415168785620342	0.0019177927655699794	0.000723127279142228	0.004104341481211237	0.003014097183702944	0.0052847818163745406	0.003068402933692561	0.007832003524401585	0.0031927957429390094	1.092017559642359e-05	3.09142239673698e-05	0.00010247117581146447	0.003998892697879877	0.0029912883699648603	0.0037367497902844504	0.0005272319161391117	0.1599953046132175	0.05666449823672407	0.0027556541318009206	0.001085240726124704	3.0474051774126327e-05	9.207438996880213e-06	0.00045420149691329274	0.0	0.0006830773901383864	0.009973536222295732	0.0	0.0	0.00038948967776724854	0.015459865490435846	0.1275836839217121	0.34062256108542954	0.0019631098932558996	0.09475638300734483	0.03978687117994131	0.007784577723378213	0.000404465525677904	0.7639285243886377	0.001113275814082939	0.0	0.0
Corynebacterium ureicelerivorans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.790272004497012e-06	0.0	0.0	0.0	0.0	1.061914951231556e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.232807610595389e-05	0.0009443027070010934	0.0	0.00572715257721866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8150578985931434e-05	0.0	0.0	0.0014114326040931546	0.0009372533543804262	7.296603945917571e-06	0.0	2.12906951678106e-05	0.0	6.324790649429503e-05	0.0	0.0	0.0	0.0	0.0030570355489562408	0.0	0.0	0.0	0.0	0.0	0.0007833537331701346	0.0	0.0	0.0	0.0	0.0
Corynebacterium amycolatum	0.0	0.0	0.0	0.0	2.274189062083612e-05	0.0	0.0	4.227611081938975e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.942334460131238e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.431155834480342e-06	0.0	0.0	0.0	0.0005869233478107759	0.0	0.0026884430554155324	0.001973164956590371	0.0	0.0	1.9516470570493048e-05	0.0	0.0	0.0004134965266291763	0.0	0.0	0.0	0.0	0.0	0.0003001741009785676	0.0	0.0029998116710161695	0.00022774699956569177	0.0	8.76813377343708e-05	0.0	0.0	0.0	0.0
Corynebacterium pseudodiphtheriticum	0.0	0.0	0.0	0.0	0.0	4.026313159579473e-05	7.1570775743709824e-06	3.2217312038224605e-05	0.0	0.000118594532233336	8.17228853464433e-06	0.0	0.0	0.0	0.0	0.0	1.0187824038532322e-05	1.7230060336858227e-05	1.0415535813218997e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006906077348066298	1.931453985684063e-05	0.0	7.008187159404322e-05	0.0	0.0001644445568851671	0.00016539861065167054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.415018590510895e-05	0.0	0.0	0.0	0.0	0.0	0.0
Corynebacterium simulans	2.9861171518674268e-05	0.0006408676361843727	0.0	0.0	4.752472014354215e-05	0.0015232617435604254	0.00019622321016400443	0.0015666943550895918	0.0010298087895571821	6.758806928191641e-06	0.00037731630042932334	9.848700222184919e-06	0.0005185684678514098	0.00045485558335228563	0.0	1.4054203228889309e-05	0.00047044742294061355	8.087579341790597e-05	0.0013770540137669348	0.00013488364462898794	0.0008329679964927663	0.0	1.1522357744573962e-05	0.0	0.00022501072725560173	0.0005467015672111594	0.0	0.0008321503744676685	0.0	0.0	0.0	0.0	6.002412112181652e-05	3.3457578503234535e-05	0.0	0.0001434380948319642	0.0013264467660523535	0.0005478138802341904	0.00013442215277077661	0.0006412786108918705	0.0	5.6267682758712414e-06	3.371026734903345e-05	0.0	0.00021504288208060315	0.002315580549123387	0.0	0.0	0.00021856799393152394	0.008559699537077473	0.0030485945978903726	0.010070841087830943	0.0020449061388082288	0.002932551319648094	0.7414330053070347	0.0	0.00010606613435609371	0.0028976599200948327	0.0	0.0	0.0
Gordonia sp. w5E2	2.3369612492875513e-05	0.0	0.0	1.0816054212340776e-05	3.4987524032055568e-06	0.0	0.0	0.0	0.0012617477061241153	3.965166731205763e-06	5.042475904355013e-06	0.0	0.0007030761906278927	0.0011578142121694544	0.0	3.194137097474843e-05	3.417850645185037e-05	2.602090744750018e-05	4.206274078415365e-06	9.296034967673495e-05	0.00526085050416484	0.0008944327604128895	8.078894510563353e-06	0.0	0.0008006195644210945	0.014562141744806335	0.007558748690315821	0.03857261735767781	0.007695456406058125	0.0	0.0	0.0	1.8435980058843646e-05	0.0	0.0	0.004741210539986276	0.0032280784129592676	0.000684767350292738	0.002150754444332426	0.0135655090765588	0.00011417039115376906	0.0003135644502826428	0.0004240396787588944	1.6800240579445098e-06	0.006691628507096415	0.006764803175653324	5.58145457945251e-05	1.0716176353971022e-05	0.0	0.09293388068826972	0.0004725321626730077	0.0012457225190610553	0.0	0.0011299739029836692	0.00020126479031386715	0.0029865361077111383	0.0002899141005733228	0.02212758484436054	0.009091752481677335	0.0	0.0
Gordonia bronchialis	1.557974166191701e-05	0.0	0.0	4.269495083818727e-06	0.0	0.0	0.0	1.355751140070085e-05	0.000556653399760639	2.0727007913121034e-06	0.0	0.0	0.00022786924995177137	0.0002894535530423636	0.0	2.4275441940808805e-05	1.3145579404557836e-05	1.4416989261452804e-05	2.2032864220270955e-06	2.952858166202169e-05	0.001578255151249452	0.0005559987429593638	0.0	0.0	0.00021454511203441095	0.003495576687319837	0.004265828468792097	0.014244456410005385	0.002046663937781416	0.0	0.0	0.0	8.1461307236751e-06	0.0	0.0	0.002085667432962074	0.0009625542904096725	0.0	0.0009185513772669736	0.0074486977111286505	8.970530733510426e-05	8.082085341705965e-05	0.00012153438491625216	0.0	0.006172995673843196	0.004035726099900761	2.1157138297563665e-05	2.321838210027055e-06	0.0	0.03598567560485632	0.0	0.0004052350363210662	0.0	0.00048427452985014394	0.0	0.0007343941248470012	0.00010889456460558954	0.006892918294771041	0.0064013359309769	0.0	0.0
Gordonia otitidis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.433404658620891e-05	0.0	0.0	0.0	4.272313306481296e-06	0.0	0.0	1.3123814072009638e-05	0.000526085050416484	9.669543355815022e-05	0.0	0.0	0.0001308201902648847	0.001010569563632749	0.000823230055380931	0.0029859513436781048	0.0	0.0	0.0	0.0	1.5720603150951947e-06	0.0	0.0	0.0003527801791813174	0.00018781547129944828	0.0	0.00020163322915616494	0.002565114443567482	2.403587182184612e-05	6.598664614430819e-05	5.1452513322208946e-05	0.0	0.0008601715283224126	0.000942772080714522	4.029931104297841e-06	0.0	0.0	0.009520482138178007	0.0	0.0	0.0	0.0	0.0	0.0	3.676959324344582e-05	0.0019756772182464768	0.0	0.0	0.0
Lawsonella clevelandensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00033133428315827837	0.0	0.0007832003524401586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005919494869771113	0.0	5.6267682758712414e-06	0.0	0.0	6.324790649429503e-05	0.0002480979159775058	0.0	0.0	0.0	0.0013101580924098175	0.0	0.0	0.0	0.0	0.0	0.0	2.8284302494958324e-05	0.0	0.0	0.0	0.0
Blastococcus brunescens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1866953872098148e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1037054724481925e-06	0.0	0.0	0.0	0.0	0.0	0.0004970014247374176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4273873720202674e-05	0.0	0.0	0.0002240369212846277	0.0008385951065509077	0.0	0.0	6.209786090611425e-05	0.0	0.0	0.00029771749917300693	0.0	3.393455845424157e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Modestobacter italicus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6035766172871973e-06	0.0	0.0	0.0	0.0	1.4601330579433893e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003479009973161923	0.000823230055380931	0.0014685006608252974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005488904571473379	0.0006906077348066298	0.0	0.0	0.00015435753996662684	0.0	0.0	0.0007112140258021833	0.0	0.0	0.0	0.004803913005502664	0.0	0.0	0.0	0.0	0.0	0.0	2.2627441995966657e-05	0.0	0.0	0.0	0.0
Nakamurella multipartita	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.424645630131483e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021536728405288096	0.0	0.0009790004405501982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005919494869771113	3.648301972958786e-05	6.138292664586808e-06	0.0	0.0	0.0	0.00047965597088984454	4.231427659512733e-06	1.482404395632658e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018243375109248117	0.0	0.0	0.0	0.0
